org_code,org_name,region_code,avg_occupancy_total,avg_occupancy_general_acute,avg_available_total,avg_occupied_total,quarters_reported
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Y60,98.86001745440605,98.7926214266027,410.4048083558953,405.70281692944735,4
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Y60,97.29274165688079,97.33964769549753,2860.6101887243194,2783.0034420289853,4
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,96.60408524591925,97.45386424525653,508.8282111004937,491.4480271540054,4
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Y59,96.33895718943748,96.79140836109137,658.7223801560758,634.7569384721559,4
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,96.02567415948269,96.02567415948269,1536.284109730849,1475.142762913415,4
RWV,DEVON PARTNERSHIP NHS TRUST,Y58,95.39836634806026,,264.2986781334607,252.08634403036575,4
RVJ,NORTH BRISTOL NHS TRUST,Y58,95.34994203607582,96.66864569181135,1028.7222129319955,980.8961140308967,4
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,95.32200874925934,95.039340466512,1123.6633460742157,1071.2069497531454,4
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Y58,95.31682713512735,95.9495252337291,594.4686428305994,566.6769290492116,4
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Y59,95.28943536307332,99.43588708621446,552.75,526.7278375006636,4
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,95.07350853633277,96.7388286732578,774.6016483516484,736.4378928438712,4
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Y56,94.97827454610007,97.51425971525647,860.9040352763179,817.8099378881988,4
RLQ,WYE VALLEY NHS TRUST,Y60,94.8047837871961,97.20930695899312,313.95223629027976,297.63459614057444,4
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Y56,94.74862448313286,94.84436656160764,1095.0706455380368,1037.5632538355364,4
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,94.7196401931825,97.88727910592159,866.700978128152,820.9382080479907,4
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,Y59,94.65266362211159,,553.2292449700058,523.3513722991984,4
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,94.5056250870818,97.81399451602091,1516.8146825396825,1433.5193329617243,4
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y56,94.48006426244243,98.07788178995374,887.7694099378882,838.6035289589637,4
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,94.45176562058793,97.01483178044506,1834.0038600891862,1732.2398491001752,4
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,94.38916503281885,94.38916503281885,386.3801507671073,364.6988878271487,4
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,Y60,94.33922067068426,,637.1139525933004,601.0080061846367,4
